26-Jul-22,565.3,574.5,531.2,556.6,556.6,374
27-Jul-22,549,561.6,542,555.2,555.2,201
28-Jul-22,555.2,559.2,531,536.7,536.7,371
29-Jul-22,534.6,535.1,523.1,527.1,527.1,307
1-Aug-22,529.8,545.2,514.1,534.2,534.2,351
2-Aug-22,541,541,520.4,521.2,521.2,227
3-Aug-22,521,521.3,483,493.2,493.2,362
4-Aug-22,491,502,470.6,500,500,372
5-Aug-22,501.1,518.5,473.6,479.2,479.2,282
8-Aug-22,489,528.2,483.2,519.3,519.3,398
9-Aug-22,528.5,565,528.4,552.8,552.8,376
1-Sep-22,514.4,517.7,489,499.7,499.7,134
2-Sep-22,492.4,499,484,493.8,493.8,85
6-Sep-22,492.2,496.3,485,490,490,83
7-Sep-22,490,509,485.1,505.5,505.5,85
8-Sep-22,500.9,514.9,499,513.4,513.4,101
9-Sep-22,511.9,519.9,504.7,509,509,54
3-Oct-22,437.7,442.3,421.3,426,426,404
4-Oct-22,436,448,426.2,434,434,298
5-Oct-22,434,437.6,421.2,436.6,436.6,207
6-Oct-22,441.4,468.6,441.3,454.7,454.7,207
